"tab","column_position","column_name","type","required","purpose","layer","human_editable","notes"
"STG_ENG_GATES","1","gate_id","text","True","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_GATES","2","phase","text","True","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_GATES","3","status","text","True","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_GATES","4","decision","text","True","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_GATES","5","readiness","text","False","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_GATES","6","blockers","text","False","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_GATES","7","authorization_required","text","False","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_GATES","8","authorization_status","text","False","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_GATES","9","created_at","text","False","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_GATES","10","source_report","text","False","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_GATES","11","notes","text","False","Registrar gates, decisiones, bloqueos y autorizaciones humanas.","control","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","1","run_id","text","True","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","2","phase","text","True","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","3","block","text","True","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","4","ok","text","True","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","5","decision","text","False","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","6","readiness","text","False","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","7","mode","text","False","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","8","report_json","text","False","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","9","dashboard_html","text","False","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","10","created_at","text","False","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","11","recommended_next","text","False","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_RUNS","12","notes","text","False","Registrar ejecuciones, resultados, logs y evidencias.","operations","False","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_DICTIONARY","1","term_id","text","True","Diccionario operativo de conceptos, campos, decisiones y contratos.","knowledge","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_DICTIONARY","2","term","text","True","Diccionario operativo de conceptos, campos, decisiones y contratos.","knowledge","True","Modelo local inicial para interfaz operativa Sheets"
"STG_ENG_DICTIONARY","3","definition","text","True","Diccionario operativo de conceptos, campos, decisiones y contratos.","knowledge","True","Modelo local inicial para interfaz operativa Sheets"
